CpGName,Sample1,Sample2,Sample3
cg00059225,0.19339172,0.197261965,0.158328741
cg00059424,0.039286207,0.046076,0.037427596
cg00059740,0.020548124,0.020881258,0.015517577
cg00059930,0.58752661,0.581163683,0.572398291
cg00060762,0.030362237,0.039536927,0.03999577
cg00060882,0.165409047,0.170440124,0.147769344
cg00061059,0.086001958,0.115369209,0.105263924
cg00061629,0.05096069,0.061706831,0.049207456
cg00062776,0.971352572,0.97012154,0.9609819
cg00063144,0.799143889,0.823273726,0.786660704
cg00065385,0.894052471,0.901667261,0.885693449
cg00065408,0.037657987,0.039481826,0.0357367
cg00066153,0.896601001,0.90124134,0.899254959
cg00066816,0.312818317,0.244852528,0.19712059
cg00067471,0.165247981,0.208520565,0.15650697
cg00069261,0.059631425,0.050588933,0.047236547
cg00071250,0.519699334,0.57543891,0.533952138
cg00071998,0.045935377,0.044334258,0.045483211
cg00072216,0.02156562,0.027884753,0.019683181
cg00073650,0.773304033,0.790840841,0.776920784
cg00075967,0.533981128,0.545103223,0.538305602
cg00076645,0.032162783,0.034555878,0.036919165
cg00077457,0.805957423,0.788288598,0.820156822
cg00077877,0.666054477,0.682828928,0.667459674
cg00078194,0.028905504,0.028679527,0.027510304
cg00078867,0.066645007,0.152122528,0.209748647
cg00079056,0.803593321,0.832254039,0.808752898
cg00079563,0.014667797,0.021057293,0.013113217
cg00080012,0.01960814,0.016087069,0.015122182
cg00081935,0.092908004,0.092329046,0.107578738
cg00081975,0.032352116,0.031358051,0.026172413
cg00083720,0.018413616,0.02330859,0.017570974
cg00083937,0.383359082,0.408361951,0.387616119
cg00084687,0.027232349,0.02873848,0.02283145
cg00089071,0.01879433,0.017488348,0.015152279
cg00090147,0.08185304,0.080624598,0.070147832
cg00091693,0.699263493,0.727621361,0.651585783
cg00093177,0.782238926,0.752789032,0.767451246
cg00094319,0.696041173,0.684166171,0.628607824
cg00094851,0.07413125,0.07929625,0.07513129
cg00095526,0.665605515,0.7466953,0.712272634
cg00095674,0.097022312,0.096825454,0.084624025
cg00096922,0.030761752,0.036992598,0.036418831
cg00097536,0.029708454,0.026800947,0.027986719
cg00098162,0.738173326,0.74041943,0.728919929
cg00098239,0.023587924,0.027741867,0.020701795
cg00099550,0.035680893,0.035823712,0.033173473
cg00101227,0.849990093,0.850213513,0.813428852
cg00103783,0.024848918,0.027786156,0.023523602
cg00105253,0.082098241,0.087293811,0.0839379
cg00105470,0.040503982,0.048959855,0.033085933
cg00107187,0.117141838,0.076703261,0.058294288
cg00107488,0.256366067,0.237429791,0.215726605
cg00107632,0.028311984,0.031319324,0.024533695
cg00108454,0.442982448,0.454608639,0.435953009
cg00109274,0.033843872,0.021080226,0.02056701
cg00112517,0.09483356,0.095200246,0.09271006
cg00113020,0.802064333,0.791717877,0.774182207
cg00113951,0.114408999,0.118450535,0.113547438
cg00115714,0.040226602,0.058450067,0.03959422
cg00116234,0.07318567,0.113848418,0.090529435
cg00116838,0.056757301,0.062775036,0.049379385
cg00117172,0.028295274,0.028585952,0.028011517
cg00119079,0.043910227,0.053463819,0.037054932
cg00121158,0.026397578,0.030751239,0.024185153
cg00121640,0.059149123,0.062522138,0.060512011
cg00121904,0.071704637,0.1017538,0.127041853
cg00123035,0.043959322,0.054459876,0.043847224
cg00126034,0.048664052,0.046994197,0.043119065
cg00126657,0.676307536,0.703482957,0.586820222
cg00126698,0.721178702,0.68999031,0.640723474
cg00128197,0.029356888,0.082177171,0.139179665
cg00128560,0.834013013,0.846520917,0.801552948
cg00128654,0.022859245,0.022269507,0.01898232
cg00128766,0.101514458,0.10671987,0.123071711
cg00128877,0.078264756,0.086808393,0.077974521
cg00129774,0.035817236,0.044956443,0.036006155
cg00131121,0.040989991,0.045885506,0.03389293
cg00131557,0.878014541,0.880199049,0.892668054
cg00132141,0.56923193,0.620652018,0.539659612
cg00133909,0.054855592,0.053246481,0.044423882
cg00134539,0.372318116,0.421626243,0.456700028
cg00134787,0.790522311,0.78397043,0.767233799
cg00135056,0.124793004,0.107347842,0.101233254
cg00135393,0.517332118,0.52068713,0.539903042
cg00136105,0.030816513,0.029050029,0.027925899
cg00136405,0.595877296,0.632264848,0.575003436
cg00136477,0.625688268,0.623624798,0.588204003
cg00136736,0.040107134,0.040014557,0.037236147
cg00138126,0.570816585,0.526163343,0.536931996
cg00141162,0.037381377,0.045889428,0.034276469
cg00141550,0.798441883,0.772858411,0.75192381
cg00141845,0.378031094,0.426381914,0.323554285
cg00143376,0.487719771,0.482597578,0.468304947
cg00143998,0.045409918,0.056522623,0.039270552
cg00145118,0.563475423,0.552073195,0.495472828
cg00145348,0.053563696,0.182499579,0.277854369
cg00146096,0.024207183,0.022445306,0.01518037
cg00149659,0.028518281,0.037462081,0.023595821
cg00149976,0.029535709,0.03149059,0.031375911
cg00151234,0.066506605,0.1658775,0.19765729
cg00151607,0.03493016,0.032109239,0.030679997
cg00152644,0.894609804,0.88051568,0.874984902
cg00155167,0.038165744,0.051070464,0.041842076
cg00155485,0.035222848,0.054296408,0.039882865
cg00155609,0.043882946,0.05210504,0.033651062
cg00156216,0.027638845,0.027065849,0.022806454
cg00156744,0.033097799,0.0474639,0.0319843
cg00158308,0.064128826,0.074248323,0.038181611
cg00160914,0.23496864,0.255586231,0.252265893
cg00162401,0.026012443,0.024511276,0.022423695
cg00162643,0.046146268,0.049668482,0.036687628
cg00164041,0.029056231,0.041272268,0.032596319
cg00164898,0.027415982,0.031849677,0.024763169
cg00165981,0.053438982,0.079611691,0.058719601
cg00167504,0.03208018,0.035994165,0.032705638
cg00168082,0.050307148,0.071652711,0.062488484
cg00168785,0.09775994,0.1287123,0.075086308
cg00168942,0.570440324,0.62864122,0.565568697
cg00171126,0.035671784,0.043578,0.037894813
cg00171161,0.077580009,0.074114235,0.05503214
cg00174500,0.692640275,0.736146726,0.741299413
cg00174901,0.32357651,0.311361618,0.307452622
cg00176210,0.216370144,0.277747758,0.243579188
cg00176879,0.973083482,0.968383888,0.967317304
cg00177013,0.066745182,0.072015313,0.065799737
cg00177698,0.051442423,0.046944176,0.040982408
cg00177923,0.018550745,0.023526089,0.020908653
cg00178790,0.039176366,0.040118601,0.036167511
cg00179446,0.101092633,0.155065041,0.232056464
cg00180012,0.033964331,0.046677939,0.044734939
cg00180631,0.344850772,0.279075608,0.347287879
cg00182461,0.073844623,0.077259259,0.061145773
cg00183916,0.021465746,0.030326677,0.020264675
cg00184884,0.017716145,0.018600398,0.019038476
cg00184893,0.029334623,0.029714007,0.022776124
cg00185103,0.792313661,0.78106364,0.723801307
cg00185839,0.039611996,0.037949606,0.041562196
cg00186141,0.025445634,0.024783448,0.022643886
cg00186701,0.24063158,0.239874703,0.236282755
cg00186954,0.818684673,0.776060711,0.792097454
cg00187380,0.095349502,0.099026737,0.081957492
cg00187686,0.302309635,0.31328514,0.325210717
cg00188348,0.669658354,0.668419447,0.683808547
cg00191052,0.144184943,0.205079732,0.213739781
cg00194146,0.166867739,0.174357629,0.149188483
cg00195561,0.844355167,0.84100331,0.832556069
cg00197381,0.036089338,0.039420482,0.032199908
cg00197641,0.038652779,0.043935178,0.035559808
cg00199549,0.926223592,0.921360885,0.925065688
cg00200063,0.02185529,0.026570958,0.021957363
cg00201234,0.017379296,0.022390951,0.030111584
cg00202702,0.01885683,0.026701677,0.022069111
cg00202711,0.107376799,0.114941651,0.128180281
cg00204262,0.859828239,0.863700026,0.846557756
cg00206052,0.049072214,0.067877086,0.03884874
cg00207534,0.029348992,0.03918587,0.030055105
cg00208830,0.751789799,0.774891337,0.755788494
cg00208967,0.112868447,0.132543129,0.113325614
cg00209066,0.896493844,0.892433339,0.884353286
cg00209951,0.10483686,0.132776688,0.117925997
cg00210842,0.061535675,0.073106948,0.055403945
cg00211661,0.040479977,0.041968496,0.035673897
cg00212549,0.091034921,0.091822012,0.085967441
cg00213044,0.825980405,0.851893909,0.823956183
cg00213331,0.846206951,0.83401905,0.800067605
cg00213714,0.059949366,0.065914186,0.049886746
cg00214346,0.028042952,0.029568875,0.026008658
cg00214794,0.491086299,0.430594512,0.479504519
cg00214855,0.187855995,0.200763403,0.172617967
cg00215066,0.937396386,0.946334549,0.929934383
cg00216361,0.043958688,0.049936188,0.045533563
cg00216758,0.052232129,0.054999361,0.050446539
cg00217795,0.493350083,0.430976974,0.430699511
cg00221494,0.018522628,0.022658431,0.019009562
cg00223186,0.035440865,0.052173647,0.04053746
cg00223950,0.047198358,0.049400485,0.045400492
cg00224234,0.018812232,0.022156008,0.017372193
cg00224508,0.030881421,0.034374978,0.032108936
cg00226904,0.757948611,0.782196135,0.769024091
cg00226923,0.846071693,0.860256643,0.868319086
cg00228799,0.02967706,0.030308619,0.02581034
cg00229387,0.539148849,0.54562406,0.535781216
cg00230271,0.057193708,0.071638616,0.068616675
cg00230368,0.039496264,0.043289727,0.035801097
cg00230502,0.105481753,0.105343442,0.095420981
cg00230685,0.053559761,0.150943124,0.231729312
cg00231140,0.02990823,0.036565493,0.02391396
cg00231644,0.188764846,0.207312862,0.185859349
cg00231920,0.050483692,0.036495631,0.037524095
cg00233307,0.105514766,0.103234623,0.104410577
cg00234616,0.091943152,0.104162055,0.103034451
cg00234961,0.063260086,0.062828209,0.057214524
cg00236832,0.090336731,0.122818972,0.098426738
cg00237010,0.71897919,0.755543391,0.762055008
cg00238052,0.098735835,0.132416274,0.154629841
cg00239071,0.924566535,0.927743614,0.908894358
cg00239419,0.854839651,0.842046715,0.82948557
cg00239685,0.053258358,0.064904848,0.060552117
cg00240312,0.028900408,0.029389739,0.02655496
cg00240432,0.028903605,0.037547281,0.031160477
cg00240880,0.889018744,0.888483947,0.882313603
cg00241355,0.031797203,0.032027046,0.026756264
cg00242839,0.510636245,0.538252263,0.477687476
cg00243313,0.027860209,0.028509003,0.021836914
cg00245878,0.844721913,0.81455134,0.823143508
cg00247489,0.025415418,0.057533721,0.03017927
cg00250430,0.052010676,0.060943608,0.052921679
cg00253200,0.026675392,0.03012701,0.023384037
cg00256074,0.856354794,0.869654559,0.868027035
cg00256166,0.045198868,0.044224512,0.043376434
cg00256281,0.053085857,0.025950345,0.02691014
cg00259755,0.120629817,0.127901907,0.119697228
cg00260778,0.701459604,0.587285087,0.615639309
cg00261552,0.043715795,0.074741352,0.040993799
cg00261781,0.019442102,0.016566354,0.013000317
cg00262415,0.028088897,0.033758393,0.025401143
cg00263723,0.030718207,0.037924316,0.027431917
cg00263760,0.061303316,0.06542332,0.0600816
cg00265415,0.014631001,0.019303234,0.015651665
cg00265490,0.082708631,0.109930717,0.087953769
cg00268009,0.019256253,0.027546766,0.021389994
cg00268338,0.032738747,0.029396895,0.021773545
cg00269115,0.033674835,0.044734726,0.033437909
cg00269932,0.80195038,0.702414784,0.745401503
cg00273068,0.096202629,0.096981944,0.090160652
cg00273124,0.861604146,0.84373108,0.836692897
cg00274399,0.051464864,0.052348208,0.043187404
cg00275232,0.022502233,0.031862653,0.023334818
cg00276797,0.039309239,0.04665115,0.032485594
cg00278366,0.440095504,0.398292475,0.353113168
cg00279797,0.110530047,0.137871235,0.164949108
cg00280814,0.812906309,0.844192562,0.815486922
cg00280894,0.685196016,0.701912139,0.572322333
cg00282347,0.075044526,0.063478571,0.062933755
cg00282683,0.030664063,0.039046768,0.025182341
cg00283535,0.82088863,0.75862968,0.783945314
cg00288562,0.040159016,0.048430226,0.050896515
cg00290028,0.019504605,0.01592279,0.016353239
cg00290506,0.023035377,0.025968622,0.018418508
cg00291877,0.095823348,0.135858308,0.118222996
cg00292662,0.032253755,0.031934361,0.027592392
cg00292971,0.485891743,0.544177541,0.509200521
cg00293409,0.050135216,0.051608363,0.040183621
cg00294382,0.109843357,0.121423443,0.1199268
cg00295206,0.031567476,0.038976133,0.030393836
cg00295325,0.744168164,0.724381221,0.704456117
cg00296685,0.036684303,0.039390418,0.034058065
cg00297584,0.047117643,0.052056949,0.04563459
cg00297600,0.513180462,0.537124894,0.47641554
cg00298357,0.852496752,0.878602791,0.849459945
cg00298951,0.768882441,0.77341705,0.706983958
cg00301864,0.014689683,0.01849616,0.015942007
cg00302793,0.031691872,0.027611358,0.033387653
cg00303548,0.019846281,0.021870179,0.014472741
cg00304278,0.067453684,0.092606641,0.083119778
cg00307685,0.87424156,0.876586498,0.852435369
cg00308133,0.019234087,0.024204748,0.018576735
cg00308665,0.521334576,0.542560896,0.567425016
cg00309056,0.030243886,0.033466071,0.033929278
cg00309204,0.02777693,0.039951591,0.026713373
cg00311768,0.843047309,0.880141198,0.856732839
cg00312919,0.017216586,0.039482934,0.016034588
cg00314943,0.751669401,0.735109005,0.702789029
cg00315936,0.106255214,0.112830148,0.108866405
cg00317680,0.12601278,0.14741369,0.136226215
cg00318573,0.174965436,0.179561989,0.159239735
cg00318865,0.019091405,0.02241567,0.020049147
cg00319692,0.718171433,0.734685262,0.727166016
cg00319761,0.014638852,0.015509693,0.010619938
cg00320243,0.020435339,0.025871323,0.0185823
cg00321065,0.033366976,0.040039383,0.033168948
cg00321478,0.871505598,0.885881755,0.855835045
cg00323915,0.405943377,0.484255899,0.509247492
cg00324733,0.03692834,0.035437803,0.028792445
cg00325491,0.740449428,0.74595313,0.747971481
cg00327185,0.095637731,0.114155468,0.100525049
cg00327483,0.926155282,0.924379508,0.932834945
cg00328227,0.166082646,0.176940865,0.150426582
cg00331237,0.093944033,0.084833106,0.069103798
cg00331433,0.024539574,0.07144085,0.0288342
cg00332153,0.054723203,0.030654936,0.023847313
cg00332745,0.029246102,0.03871709,0.02757468
cg00333226,0.073646905,0.078529421,0.078011117
cg00333528,0.226542021,0.203187934,0.183974704
cg00334507,0.524200579,0.545508572,0.52231441
cg00335286,0.679778415,0.686899882,0.68799377
cg00336605,0.047978468,0.062391796,0.053376824
cg00338702,0.105764292,0.098889009,0.08300523
cg00338893,0.038548426,0.041266262,0.031737537
cg00340102,0.169826797,0.239604573,0.207720478
cg00342530,0.75814905,0.776710804,0.755482363
cg00343092,0.274250411,0.245871351,0.198141878
cg00344358,0.89992059,0.901826051,0.913628004
cg00344372,0.707433479,0.710589114,0.696068019
cg00344709,0.760982984,0.794469566,0.732923237
cg00346145,0.069586458,0.074797579,0.073217392
cg00347729,0.689853224,0.704923495,0.688113881
cg00347904,0.076308255,0.08699544,0.086280844
cg00350296,0.122095414,0.139765449,0.120976559
cg00350478,0.701074188,0.72967518,0.711915042
cg00350702,0.026851823,0.039112657,0.0261114
cg00351011,0.028460479,0.025896634,0.01998707
cg00353953,0.476469955,0.419729471,0.414626168
cg00354258,0.778148974,0.749518908,0.752124608
cg00354572,0.059364914,0.057022767,0.052297813
cg00355802,0.051706592,0.062576866,0.043865251
cg00359325,0.051321128,0.04694258,0.037244414
cg00359973,0.044611212,0.048951148,0.057528798
cg00363813,0.015454001,0.020374542,0.014008217
cg00364344,0.021716901,0.023041502,0.01892981
cg00364814,0.8191885,0.799679466,0.829264388
cg00365193,0.224717853,0.219834348,0.198326905
cg00367281,0.736157621,0.786056384,0.765009638
cg00367438,0.045095267,0.050312416,0.051908525
cg00368022,0.038160603,0.062059377,0.0458713
cg00368415,0.016905139,0.024241215,0.019468451
cg00371195,0.878400664,0.881953961,0.876446092
cg00374717,0.804470137,0.794395015,0.773699619
cg00375964,0.022691026,0.034501187,0.025937449
cg00376639,0.126397945,0.139260376,0.113373815
cg00380464,0.038726032,0.038159968,0.034415899
cg00381076,0.035162895,0.05340252,0.030617682
cg00382515,0.021814834,0.027776812,0.020001448
cg00382991,0.07202496,0.087788552,0.067002671
cg00384537,0.847147641,0.875469883,0.833398246
cg00386408,0.190643526,0.152890527,0.146711536
cg00387170,0.035335991,0.032170353,0.026499329
cg00392257,0.867273666,0.857962323,0.853597743
cg00393585,0.092311054,0.104717187,0.130950549
cg00394658,0.1940162,0.197879572,0.161167566
cg00396163,0.040004656,0.055195059,0.039701808
cg00396894,0.706158722,0.707472065,0.745711098
cg00397545,0.443229868,0.421338646,0.386418543
cg00397740,0.053363042,0.060708794,0.055975967
cg00398048,0.560779096,0.496948821,0.504946144
cg00399483,0.088172903,0.101748222,0.084767156
cg00400028,0.07926544,0.080919172,0.056334593
cg00400263,0.928440223,0.935333001,0.917837919
cg00401678,0.522599146,0.496651085,0.495710885
cg00402366,0.038569804,0.040118359,0.032515107
cg00403724,0.657119334,0.650095517,0.598488461
cg00404599,0.0585504,0.109386185,0.111811378
cg00405070,0.036339015,0.038776413,0.030218284
cg00405568,0.049407125,0.046482598,0.03596027
cg00405677,0.040398746,0.046267481,0.03465953
cg00406188,0.788876969,0.763061172,0.774428535
cg00406844,0.756180355,0.775400054,0.758802868
cg00407150,0.727279249,0.737180313,0.687785911
cg00410419,0.03345005,0.037501695,0.03324567
cg00410576,0.022766839,0.023560821,0.019644745
cg00410831,0.832247657,0.836796049,0.810027823
cg00410895,0.81678788,0.803379405,0.773083693
cg00410898,0.154569824,0.218592626,0.192504675
cg00410921,0.427291369,0.453795359,0.454758542
cg00411097,0.506365327,0.492267743,0.437646799
cg00412772,0.613815126,0.648821634,0.62246366
cg00412805,0.849793738,0.890785929,0.842890039
cg00413066,0.820043492,0.833371125,0.802601295
cg00415164,0.031187364,0.038402155,0.034223071
cg00415494,0.807593693,0.815687801,0.784819454
cg00415978,0.084529022,0.094222366,0.086782636
cg00415993,0.487707636,0.392274837,0.458268923
cg00417297,0.021024642,0.025438655,0.019310985
cg00418150,0.169621818,0.176667044,0.163786558
cg00419564,0.026608648,0.034082195,0.024255367
cg00420568,0.11668903,0.13184057,0.120559337
cg00420715,0.019357251,0.020128152,0.019129147
cg00420929,0.525344682,0.515595857,0.498254269
cg00422913,0.044073268,0.054457336,0.04411295
cg00424946,0.022370721,0.024500888,0.023518075
cg00425710,0.517472692,0.517071486,0.520387174
cg00425792,0.061885525,0.066415713,0.067881347
cg00426056,0.021014217,0.026929628,0.019396545
cg00426498,0.31202287,0.27976451,0.27876139
cg00426963,0.023821434,0.035740343,0.035266034
cg00427635,0.244286552,0.259238439,0.221476286
cg00429618,0.109797458,0.118465416,0.110843631
cg00430287,0.899008622,0.893842462,0.892823222
cg00430945,0.0578662,0.057001684,0.05783011
cg00431050,0.631966406,0.631205191,0.619575735
cg00431114,0.40900058,0.389410287,0.346667696
cg00431549,0.383039705,0.381056798,0.31529593
cg00432979,0.026886152,0.033032213,0.020233549
cg00433406,0.767088392,0.812339591,0.812395273
cg00434413,0.948994289,0.955361976,0.947673183
cg00435408,0.062098477,0.068297518,0.067851118
cg00436282,0.842763148,0.826033046,0.830317683
cg00436301,0.032216581,0.035487719,0.033745009
cg00436603,0.740248225,0.739383381,0.705919456
cg00441136,0.928150248,0.918726035,0.915624653
cg00441382,0.018886224,0.02147577,0.017122307
cg00443307,0.466189886,0.485232168,0.428144006
cg00445824,0.158882839,0.167385008,0.157736182
cg00446235,0.033398721,0.038585122,0.037753846
cg00447208,0.060075434,0.074903226,0.059961848
cg00448720,0.833983977,0.811793294,0.822100302
cg00449941,0.03573513,0.044986748,0.037217106
cg00451635,0.448372028,0.468983476,0.417418973
cg00453193,0.033619411,0.031631373,0.029340002
cg00453258,0.678044725,0.693938137,0.625411455
cg00459975,0.021169836,0.025725851,0.016764892
cg00462311,0.078264755,0.092718369,0.097835905
cg00462994,0.036681292,0.032310481,0.034364769
cg00463202,0.874218946,0.871588459,0.865853275
cg00463577,0.062209879,0.05814464,0.05675585
cg00463848,0.83718646,0.836605005,0.814306574
cg00464269,0.016875844,0.0290682,0.028572036
cg00465284,0.035487329,0.038602909,0.031572423
cg00465846,0.017757341,0.017801688,0.015284187
cg00466249,0.651950233,0.647131325,0.625032867
cg00466436,0.693016072,0.744209085,0.689491953
cg00466492,0.860897766,0.846079228,0.845562469
cg00466544,0.024067349,0.033070442,0.020662166
cg00468146,0.075785757,0.071181758,0.058978678
cg00469635,0.02222489,0.026072721,0.020286662
cg00471562,0.032077759,0.034955161,0.026999446
cg00472136,0.792418716,0.830088963,0.794133641
cg00472814,0.035097836,0.031351248,0.026604003
cg00474004,0.784144175,0.764050383,0.711645935
cg00474209,0.060042508,0.067223721,0.054892691
cg00475955,0.014138877,0.019172736,0.012042821
cg00476577,0.076153107,0.081923498,0.073544538
cg00476580,0.019082667,0.020822434,0.016000638
cg00479269,0.045203882,0.057856118,0.040209637
cg00480115,0.842276599,0.841658273,0.869021366
cg00480209,0.028329697,0.028301272,0.024766837
cg00480356,0.196909204,0.253871184,0.220678447
cg00481227,0.229881918,0.217315223,0.193274131
cg00483154,0.028786556,0.028261944,0.0285123
cg00485296,0.011635482,0.018769406,0.011985113
cg00485380,0.032823958,0.03429877,0.030633573
cg00487159,0.032842552,0.03439266,0.029969268
cg00488300,0.869417305,0.878416721,0.853446826
cg00488364,0.812756819,0.74767672,0.698436347
cg00488718,0.027295615,0.039115985,0.032718136
cg00489401,0.035934712,0.042934308,0.041432487
cg00491404,0.737948669,0.765744569,0.744634073
cg00491839,0.07019447,0.085579872,0.055232378
cg00493400,0.025413105,0.029546482,0.018106422
cg00495415,0.035836237,0.03766484,0.038445301
cg00495442,0.065938638,0.083682304,0.063803875
cg00495491,0.767705859,0.759716519,0.765801703
cg00496170,0.02289888,0.028348257,0.020309585
cg00497084,0.833135792,0.844027953,0.827988721
cg00497251,0.173279634,0.1304711,0.11728399
cg00498305,0.302275204,0.344437644,0.297536944
cg00498604,0.091028073,0.135916521,0.086415837
cg00499599,0.034178843,0.034715833,0.030701315
cg00499822,0.08787084,0.087542356,0.105582081
cg00500400,0.057079496,0.065195146,0.05936382
cg00501366,0.790389484,0.806416094,0.780412837
cg00502442,0.031247283,0.031760697,0.028343694
cg00503458,0.080967192,0.10084552,0.086896958
cg00503840,0.059910566,0.059593689,0.048617158
cg00504595,0.301784571,0.403321086,0.396538752
cg00509616,0.211465485,0.205165255,0.191661458
cg00509670,0.092140234,0.092277547,0.080609278
cg00510787,0.042423187,0.053212308,0.042516833
cg00510956,0.843504976,0.84029987,0.82360283
cg00511475,0.371623622,0.367776444,0.354397848
cg00512031,0.825962162,0.828145651,0.804992737
cg00512279,0.018446047,0.021202544,0.015450094
cg00512374,0.04464769,0.037470517,0.037397805
cg00513220,0.064073968,0.058780041,0.042624257
cg00513467,0.039013873,0.057836105,0.048606446
cg00514407,0.03466001,0.038099411,0.031772738
cg00514895,0.037994824,0.032049119,0.029378529
cg00515905,0.871353105,0.903438097,0.869930678
cg00516481,0.177880081,0.167709033,0.168198746
cg00518989,0.033650459,0.039878891,0.029249339
cg00519208,0.666085304,0.634748908,0.637366266
cg00519627,0.020918195,0.02666046,0.023670523
cg00520135,0.598614154,0.634455731,0.607609572
cg00520708,0.314282985,0.309195963,NA
cg00521434,0.862916262,0.847759203,0.830860848
cg00521598,0.073097404,0.085566163,0.076907305
cg00522034,0.016513807,0.017335594,0.012750141
cg00522316,0.038519532,0.062890684,0.058725747
cg00524288,0.060438968,0.056931173,0.052381498
cg00528052,0.020257967,0.020145083,0.014142813
cg00528967,0.026776994,0.026793717,0.019037845
cg00532335,0.443569343,0.480990556,0.462247293
cg00532890,0.034843722,0.04255494,0.034075402
cg00534274,0.242630838,0.223842845,0.218348974
cg00534856,0.857596341,0.855572047,0.86941255
cg00536175,0.797753294,0.85333737,0.834687983
cg00537910,0.873536438,0.852603425,0.88193219
cg00539322,0.689428965,0.685935885,0.666501037
cg00539716,0.059998563,0.055714901,0.064793281
cg00539955,0.59850137,0.600360482,0.577120192
cg00540544,0.024977391,0.033906031,0.025341083
cg00540769,0.178982103,0.198837984,0.205516302
cg00542846,0.052675586,0.057120811,0.047593184
cg00544557,0.852759913,0.864924243,0.850954804
cg00545573,0.096494062,0.109140584,0.074036547
cg00546491,0.249056652,0.267705511,0.228932332
cg00546897,0.726964832,0.707748011,0.710052387
cg00547018,0.199817348,0.242510791,0.210168884
cg00547789,0.029181947,0.085076894,0.08910335
cg00547829,0.03916728,0.050679018,0.031062453
cg00548060,0.813668756,0.805149559,0.778228023
cg00548268,0.255124593,0.226273916,0.183494313
cg00550617,0.501611114,0.552546277,0.526445702
cg00551244,0.779500073,0.789322346,0.770886144
cg00554173,0.812570937,0.828540974,0.787881663
cg00554250,0.127151646,0.117493252,0.111976837
cg00554682,0.039472466,0.048170358,0.043191311
cg00554702,0.246076709,0.228701645,0.218441427
cg00556408,0.792731138,0.813669231,0.810850003
cg00557354,0.078021165,0.05232745,0.03913101
cg00559473,0.051620058,0.0546843,0.04038482
cg00560119,0.038158305,0.045946191,0.029239043
cg00563229,0.033842557,0.036108371,0.030668386
cg00563845,0.350467692,0.365575344,0.358028655
cg00563926,0.151288567,0.13223618,0.112770423
cg00563932,0.766665855,0.748746554,0.692186908
cg00564163,0.095586843,0.101137395,0.085033154
cg00565075,0.113540379,0.139250822,0.103402121
cg00565688,0.079110986,0.068715175,0.054788775
